# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
9.733179255466022362e-01,1.000000000000000000e+00,9.624653118715029709e-01,9.519580925873241117e-01,8.413966772734571276e-01,9.990849476334716650e-01,7.334816085359848747e-01,9.543225522331345578e-01,9.907386174929188050e-01,9.983131096900601520e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.780638388750854340e-01,9.478950528266698594e-01,9.688085638237090569e-01,9.841438620683278238e-01,6.918545046445434554e-01,7.854514356975502709e-01,7.135765707496254384e-01,9.413239081498206984e-01
7.258531568080182073e-01,7.098564684470191066e-01,8.414117345074076937e-01,1.000000000000000000e+00,9.057934571918584421e-01,7.070322180712340643e-01,1.000000000000000000e+00,6.765842924418914439e-01,8.064345274051101242e-01,9.533418127063376657e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.677439396151259920e-01,7.129727790551201316e-01,6.902464841122027961e-01,1.000000000000000000e+00,6.243878910083583422e-01,1.000000000000000000e+00,8.311853177175573260e-01
8.918381868179631189e-01,8.672279687274924154e-01,1.000000000000000000e+00,9.458537227364282041e-01,8.140961656703924465e-01,8.796452672331548372e-01,9.837488527838892383e-01,8.705831289269785334e-01,8.649816667684117055e-01,9.907994246577767061e-01,8.780638388750854340e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.453029045533675401e-01,8.852305419798891517e-01,9.268453920854513584e-01,9.847162135616376322e-01,8.844247679592863731e-01,9.279276779234902905e-01,8.288166381940789140e-01
5.591771981012430004e-01,6.268844131317881097e-01,7.320977621499553667e-01,9.886860670454411526e-01,1.000000000000000000e+00,6.346233223553605640e-01,9.600661252496924813e-01,6.301734111276602324e-01,6.808479839767971331e-01,9.346379288809331110e-01,9.478950528266698594e-01,7.677439396151259920e-01,8.453029045533675401e-01,2.220446049250313081e-16,6.127693062219469189e-01,6.578765322035617924e-01,9.768030969433183497e-01,5.020453651692606822e-01,9.603581576451833968e-01,1.939715890523164843e-01
1.974986152628909197e-01,4.521759633556750035e-01,1.000000000000000000e+00,9.800124198900934669e-01,9.249607331030602619e-01,4.657644282926201029e-01,1.000000000000000000e+00,2.188826191390097486e-01,7.446223932236297749e-01,8.248935397483920795e-01,9.688085638237090569e-01,7.129727790551201316e-01,8.852305419798891517e-01,6.127693062219469189e-01,4.440892098500626162e-16,5.194914416078346697e-01,1.000000000000000000e+00,1.434089256002334389e-01,1.000000000000000000e+00,4.976335244482469333e-01
5.784107286574582396e-01,6.962884651141734160e-01,9.638658694035672214e-01,1.000000000000000000e+00,9.278977015474780821e-01,6.244581700269857816e-01,1.000000000000000000e+00,5.479138271336343458e-01,7.654694828230029779e-01,9.334110846776000336e-01,9.841438620683278238e-01,6.902464841122027961e-01,9.268453920854513584e-01,6.578765322035617924e-01,5.194914416078346697e-01,4.892842277805248274e-01,1.000000000000000000e+00,5.649147852258288305e-01,1.000000000000000000e+00,6.374785848145096967e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.773495037723562096e-01,8.528374966662506385e-01,1.000000000000000000e+00,4.757545006119642261e-01,1.000000000000000000e+00,9.756155289555397125e-01,8.830665511612423302e-01,6.918545046445434554e-01,1.000000000000000000e+00,9.847162135616376322e-01,9.768030969433183497e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.909104840383650137e-01,9.855501687864872684e-01
1.232377664090354985e-01,4.954357648549272408e-01,7.727954679472767152e-01,1.000000000000000000e+00,9.002425293278258911e-01,4.126136124445435316e-01,1.000000000000000000e+00,1.655494270908726140e-01,7.498388529238441125e-01,8.885067056081413783e-01,7.854514356975502709e-01,6.243878910083583422e-01,8.844247679592863731e-01,5.020453651692606822e-01,1.434089256002334389e-01,5.649147852258288305e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.526617439931672759e-01,4.232475497570394873e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.709927970395623387e-01,8.307342985102099675e-01,1.000000000000000000e+00,3.609791095073551226e-01,9.525160923521023282e-01,9.790989683408779509e-01,8.625298096674328674e-01,7.135765707496254384e-01,1.000000000000000000e+00,9.279276779234902905e-01,9.603581576451833968e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.909104840383650137e-01,9.526617439931672759e-01,0.000000000000000000e+00,9.602177595214758110e-01
4.519301744775441332e-01,6.287486206569845582e-01,8.126137647098536920e-01,9.778413507147288852e-01,1.000000000000000000e+00,5.470548770087230173e-01,9.538785682375922059e-01,5.526954820755154429e-01,6.200987723456361511e-01,8.653809060438626410e-01,9.413239081498206984e-01,8.311853177175573260e-01,8.288166381940789140e-01,1.939715890523164843e-01,4.976335244482469333e-01,6.374785848145096967e-01,9.855501687864872684e-01,4.232475497570394873e-01,9.602177595214758110e-01,0.000000000000000000e+00
