# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
8.068135003774583591e-01,1.000000000000000000e+00,8.296980092894976622e-01,9.793419441443704798e-01,8.850964378899210949e-01,8.133377501427171419e-01,8.814905970468887020e-01,8.299640095026699083e-01,8.894189413264214084e-01,1.032529728320087603e+00,2.220446049250313081e-16,9.580014910365775016e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.007482500197539155e-01,8.612675383618302316e-01,3.893784951594422283e-01,8.682902303284114609e-01,9.052221480227884420e-01,9.561148401744059555e-01
9.984554928025766163e-01,9.207756781217542041e-01,9.781021724398655248e-01,8.681849835883971300e-01,8.829229906299751462e-01,8.999983668673114945e-01,9.749211527685183176e-01,1.000000000000000000e+00,7.784791890970566008e-01,1.075003152550866314e+00,9.580014910365775016e-01,3.969808196910168396e-01,9.654481911378004488e-01,9.805945587287312470e-01,1.000000000000000000e+00,8.570105185070036047e-01,9.140046772031241717e-01,1.000000000000000000e+00,9.018971015483856490e-01,8.180853823767868516e-01
6.942626150640329730e-01,9.392481023589298594e-01,9.614102065178797840e-01,7.866881764116493425e-01,7.938026374803266449e-01,9.834099987255364717e-01,8.684405820597413950e-01,7.036202886736712125e-01,8.122233834318356438e-01,1.031822688162915780e+00,1.000000000000000000e+00,9.654481911378004488e-01,1.110223024625156540e-16,8.811257086278923012e-01,8.939979610170987190e-01,8.981866629080628162e-01,1.000000000000000000e+00,6.028759968581758333e-01,9.578145269218009128e-01,8.778999485548193427e-01
9.708194279528105097e-01,8.220972095695544546e-01,8.557257386423071654e-01,9.509455986325447974e-01,9.174084610392544414e-01,8.635706066251181978e-01,5.055056864667557548e-01,9.349127168700157586e-01,9.393012010878417639e-01,9.346553118720632991e-01,1.000000000000000000e+00,9.805945587287312470e-01,8.811257086278923012e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.589937413749605177e-01,1.000000000000000000e+00,9.557600362669471661e-01,9.922934644322148889e-01,1.446967984413355390e-01
2.966292450488008381e-01,9.192496712814173243e-01,5.193846352150117696e-01,9.407185409971461354e-01,9.270229660348136003e-01,9.428874069418465842e-01,9.271652874748976814e-01,3.017351408514351574e-01,8.900418711628550472e-01,1.104456616298914451e+00,8.007482500197539155e-01,1.000000000000000000e+00,8.939979610170987190e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.361586258142558181e-01,9.717305039262379429e-01,1.909265206187722441e-01,9.793071749750311694e-01,9.779445359415730454e-01
8.813484302051777242e-01,1.000000000000000000e+00,9.244401236558512647e-01,9.521948673193887380e-01,9.849074549422628388e-01,9.223607279320273911e-01,9.177568759680967414e-01,8.112708402851519507e-01,9.124814397773263197e-01,1.138686298727775048e+00,8.612675383618302316e-01,8.570105185070036047e-01,8.981866629080628162e-01,9.589937413749605177e-01,8.361586258142558181e-01,1.110223024625156540e-16,8.361752158494866194e-01,8.991430204195054454e-01,9.154430185640805018e-01,9.603590638643291211e-01
9.451764238321420653e-01,5.229981004474868467e-01,8.388415863868192712e-01,9.427054897134977685e-01,8.278962808727273748e-01,8.993703309445010285e-01,9.776910761643613501e-01,1.000000000000000000e+00,9.084589847796580298e-01,1.103726681495889261e+00,3.893784951594422283e-01,9.140046772031241717e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.717305039262379429e-01,8.361752158494866194e-01,0.000000000000000000e+00,9.417749971073628990e-01,9.386048002079722119e-01,9.321925123316336936e-01
1.624788160626721156e-01,9.458239622694527560e-01,5.187487139538631276e-01,9.418885235168710235e-01,9.484258704064452150e-01,9.968557815293568325e-01,9.215482772009931933e-01,1.916129082356566871e-01,9.374938347004406758e-01,1.072055492652692621e+00,8.682902303284114609e-01,1.000000000000000000e+00,6.028759968581758333e-01,9.557600362669471661e-01,1.909265206187722441e-01,8.991430204195054454e-01,9.417749971073628990e-01,1.110223024625156540e-16,9.776720485964418561e-01,9.568571728277169841e-01
1.000000000000000000e+00,9.799069665138164797e-01,9.057719431426133339e-01,9.374120308352753561e-01,9.142020376884363309e-01,1.000000000000000000e+00,9.463267440375535688e-01,9.043335600133954877e-01,9.691032828473089555e-01,1.020397829019336289e+00,9.052221480227884420e-01,9.018971015483856490e-01,9.578145269218009128e-01,9.922934644322148889e-01,9.793071749750311694e-01,9.154430185640805018e-01,9.386048002079722119e-01,9.776720485964418561e-01,0.000000000000000000e+00,9.927084599558477773e-01
9.430981769850266261e-01,8.158829050497199420e-01,7.939661035718742488e-01,8.685622628212125163e-01,9.564703020241169806e-01,8.317350202821021110e-01,5.018691754678297201e-01,9.363362300180420039e-01,9.285782833013593862e-01,9.382366801591696115e-01,9.561148401744059555e-01,8.180853823767868516e-01,8.778999485548193427e-01,1.446967984413355390e-01,9.779445359415730454e-01,9.603590638643291211e-01,9.321925123316336936e-01,9.568571728277169841e-01,9.927084599558477773e-01,0.000000000000000000e+00
