# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.000000000000000000e+00,8.699245532857742269e-01,9.945869236119426748e-01,9.694738096264595706e-01,8.213379918010110803e-01,9.026647680662051032e-01,7.854969692059418085e-01,9.784514584553537508e-01,8.617940167827237152e-01,9.860657259568187394e-01,3.330669073875469621e-16,9.873874131283869593e-01,9.488339157796623624e-01,8.139559275580630082e-01,8.009597368322208810e-01,1.000000000000000000e+00,3.421488618998355102e-01,9.354551012913369101e-01,7.693698841188794102e-01,9.517493787480604261e-01
7.886812916476818591e-01,9.311878455633473273e-01,9.373956395707417899e-01,9.107088863527236233e-01,9.555375588961290134e-01,9.794353466202355696e-01,9.502138958788597378e-01,9.359111329314245831e-01,9.065908055071819627e-01,9.301134815888482121e-01,9.873874131283869593e-01,4.741664351379411002e-01,8.758411415904131525e-01,9.304180015013326921e-01,9.107147230760457290e-01,9.745081242292433776e-01,9.870625867171313184e-01,9.946885607902551385e-01,9.669251494172010908e-01,9.889690926647490832e-01
8.525256061177346467e-01,9.863297196723993521e-01,9.718480208383665220e-01,8.930563936534184899e-01,9.142179664230064562e-01,9.551366480699359229e-01,9.552259539532746979e-01,9.793263569732862939e-01,9.251157749566258914e-01,9.400168244825529706e-01,9.488339157796623624e-01,8.758411415904131525e-01,6.428852596255306695e-01,8.921389594332899131e-01,9.102125338834857748e-01,9.092308782458404792e-01,9.278784914228211944e-01,9.965511571344937147e-01,9.415480582033306511e-01,9.729490936357314546e-01
8.575184535908783046e-01,8.268775405967883074e-01,8.667820062122741920e-01,1.000000000000000000e+00,9.124571654124422615e-01,5.647783462647572028e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.416970172698163610e-01,9.421851733323799438e-01,8.139559275580630082e-01,9.304180015013326921e-01,8.921389594332899131e-01,0.000000000000000000e+00,2.169783858748162153e-01,9.749873930211606643e-01,8.165164932703783407e-01,9.424016984290022325e-01,8.054372277833352634e-01,1.000000000000000000e+00
9.116449590818824777e-01,8.728592238192820485e-01,9.015333989199156850e-01,1.000000000000000000e+00,8.381452456802189754e-01,8.687328083057965777e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.918962365549730542e-01,1.000000000000000000e+00,8.009597368322208810e-01,9.107147230760457290e-01,9.102125338834857748e-01,2.169783858748162153e-01,1.110223024625156540e-16,1.000000000000000000e+00,7.903364115740563189e-01,9.084508078622856031e-01,8.146262024679992164e-01,8.911504921473759611e-01
8.557467187226699412e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.049972845275386923e-01,7.161200874037050301e-01,1.000000000000000000e+00,9.868752478449720478e-01,9.781105781028799351e-01,8.750217250481928666e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.745081242292433776e-01,9.092308782458404792e-01,9.749873930211606643e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.926678146630740773e-01,9.218104002784226481e-01,9.832386785409298335e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.276670606669661368e-01,1.000000000000000000e+00,9.814293509167169027e-01,8.564261275416691355e-01,9.588518195970402447e-01,9.701881908544838229e-01,9.685749475483814708e-01,8.495931641825260616e-01,9.696428696732821706e-01,3.421488618998355102e-01,9.870625867171313184e-01,9.278784914228211944e-01,8.165164932703783407e-01,7.903364115740563189e-01,9.926678146630740773e-01,1.110223024625156540e-16,8.822275685773781628e-01,8.485786954286764772e-01,1.000000000000000000e+00
6.288922564753820499e-01,8.128031294717033006e-01,8.604461813947910098e-01,1.000000000000000000e+00,9.741371629956592226e-01,8.117274096272133477e-01,9.764289227632861889e-01,6.601488490492344319e-01,1.000000000000000000e+00,9.343308746504943585e-01,9.354551012913369101e-01,9.946885607902551385e-01,9.965511571344937147e-01,9.424016984290022325e-01,9.084508078622856031e-01,9.218104002784226481e-01,8.822275685773781628e-01,1.110223024625156540e-16,9.659995973270614211e-01,6.300388465239384894e-01
9.753333238693935314e-01,9.524655511530534246e-01,9.578052676667541121e-01,9.654678650840949894e-01,9.103589516526524594e-01,9.641237950558806391e-01,9.941498802841129967e-01,9.329198684619750548e-01,8.528454334426939232e-01,9.313263006669755262e-01,7.693698841188794102e-01,9.669251494172010908e-01,9.415480582033306511e-01,8.054372277833352634e-01,8.146262024679992164e-01,9.832386785409298335e-01,8.485786954286764772e-01,9.659995973270614211e-01,-2.220446049250313081e-16,9.733326745322824491e-01
8.005118483406514773e-01,8.536062992591122445e-01,8.542290104471332857e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.670769431544950612e-01,9.815757799687659935e-01,8.322953094517888672e-01,9.353081317196477729e-01,9.975899222987121284e-01,9.517493787480604261e-01,9.889690926647490832e-01,9.729490936357314546e-01,1.000000000000000000e+00,8.911504921473759611e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.300388465239384894e-01,9.733326745322824491e-01,0.000000000000000000e+00
