# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
8.747065725904548117e-01,8.241716641575453917e-01,7.996070933910641720e-01,7.389673969307215540e-01,8.404453404684251172e-01,9.590241677887995086e-01,4.367722066756358767e-01,8.768925771285726034e-01,8.122322993671750035e-01,9.423119873243581690e-01,2.220446049250313081e-16,9.635951815417469479e-01,5.680562734825960192e-01,7.655214063128371604e-01,8.716233168076092941e-01,9.086908454943323221e-01,3.308203082665960304e-01,8.622303685630086090e-01,6.891593864152737448e-01,6.797657976434146043e-01
9.610427355271946581e-01,8.684400815203054957e-01,8.859560903846915858e-01,9.774691677058291450e-01,9.573724883235712468e-01,9.119568559284012554e-01,9.602749788934984432e-01,9.006663653120124957e-01,9.096676553527305309e-01,9.737957962192458350e-01,9.635951815417469479e-01,5.000000000000000000e-01,9.629068866786917313e-01,9.915599701520131370e-01,8.952696815723870660e-01,8.918414788056303610e-01,9.711953164883259104e-01,9.217704176951100337e-01,9.849191050900929501e-01,9.765290608841276088e-01
8.424453366769044660e-01,8.525476643191683968e-01,6.554944131235012073e-01,3.537195358288479641e-01,8.692613793915440201e-01,9.758484812524893526e-01,7.515202225823838234e-01,8.684006527367131856e-01,8.846403377835605486e-01,8.686944553310107509e-01,5.680562734825960192e-01,9.629068866786917313e-01,0.000000000000000000e+00,8.066544394418526664e-01,8.901328847890701557e-01,1.000000000000000000e+00,7.121784919612459408e-01,9.169178552843519903e-01,9.247875314863370777e-01,7.918576148645515289e-01
5.494611475855113447e-01,8.715406625132436913e-01,5.283945512367207442e-01,6.509031222660658367e-01,8.750750194378075220e-01,7.544408477121533618e-01,7.348591107113628951e-01,6.708201465537477759e-01,7.989414417654352452e-01,9.420695162785640564e-01,7.655214063128371604e-01,9.915599701520131370e-01,8.066544394418526664e-01,0.000000000000000000e+00,8.900673267461119975e-01,1.000000000000000000e+00,7.844637817443051997e-01,7.027241833469068943e-01,1.000000000000000000e+00,7.094238297117649861e-02
8.794960822814084089e-01,8.225051841244671591e-01,6.219061433733965583e-01,8.871356128936332963e-01,8.949833674730830468e-01,9.488540924778086083e-01,8.908853357459805000e-01,8.363601247947756168e-01,9.072442082845809663e-01,1.000000000000000000e+00,8.716233168076092941e-01,8.952696815723870660e-01,8.901328847890701557e-01,8.900673267461119975e-01,-2.220446049250313081e-16,9.033135220706023372e-01,8.747094508662368595e-01,8.679060340769952919e-01,8.621685361361729472e-01,8.452738169306622806e-01
8.201278605573792957e-01,1.000000000000000000e+00,9.024144398870344030e-01,9.724114091220538159e-01,9.229289816555034109e-01,7.577919942732831426e-01,8.883911595634241820e-01,7.535649855635280225e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.086908454943323221e-01,8.918414788056303610e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.033135220706023372e-01,0.000000000000000000e+00,9.239362178022380023e-01,9.573504275960214027e-01,9.867390318073854250e-01,1.000000000000000000e+00
9.199953223142073311e-01,9.864454607810250186e-01,7.481138087854850571e-01,7.618581466817170300e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.922363279948126724e-01,9.026661190404896562e-01,9.899910985331931146e-01,9.688584204635209973e-01,3.308203082665960304e-01,9.711953164883259104e-01,7.121784919612459408e-01,7.844637817443051997e-01,8.747094508662368595e-01,9.239362178022380023e-01,1.110223024625156540e-16,9.414839553375816683e-01,6.705112981714236309e-01,7.236358239109599300e-01
6.651345198327093255e-01,8.841531731443947884e-01,7.614283741386840276e-01,9.084699721336871869e-01,8.547968991873432509e-01,9.538888649286327848e-01,9.517031700124951588e-01,7.086842630716811975e-01,9.581213792021634479e-01,9.771012330469464047e-01,8.622303685630086090e-01,9.217704176951100337e-01,9.169178552843519903e-01,7.027241833469068943e-01,8.679060340769952919e-01,9.573504275960214027e-01,9.414839553375816683e-01,4.508304153515222401e-01,9.824047967207205634e-01,6.792798304449758628e-01
1.000000000000000000e+00,8.819585639415022937e-01,9.840225261522558275e-01,9.512980015368435183e-01,8.958575415414533616e-01,7.122755729703369454e-01,6.315147002863885639e-01,9.714136944756917025e-01,9.248919947002680608e-01,9.362852219099022655e-01,6.891593864152737448e-01,9.849191050900929501e-01,9.247875314863370777e-01,1.000000000000000000e+00,8.621685361361729472e-01,9.867390318073854250e-01,6.705112981714236309e-01,9.824047967207205634e-01,0.000000000000000000e+00,9.619823282818587007e-01
5.063455327265549144e-01,8.502019867525546504e-01,5.204719538339552809e-01,5.589715065170571817e-01,8.686558430259053720e-01,9.746958549495848834e-01,7.305741082694576782e-01,7.300462420387145990e-01,8.687062571129087196e-01,9.558127909888758378e-01,6.797657976434146043e-01,9.765290608841276088e-01,7.918576148645515289e-01,7.094238297117649861e-02,8.452738169306622806e-01,1.000000000000000000e+00,7.236358239109599300e-01,6.792798304449758628e-01,9.619823282818587007e-01,0.000000000000000000e+00
