# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.000000000000000000e+00,9.476402606267316786e-01,1.000000000000000000e+00,9.576753908394887160e-01,9.636255553756218895e-01,9.868369206643332614e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.656250404197417314e-01,9.930499303053106352e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.736709161978200910e-01,9.694039235036365776e-01,9.932159228367181125e-01,1.253737110642439090e+00,9.798364931882385109e-01,1.000000000000000000e+00,9.600707616785763010e-01
7.068690453030035403e-01,7.505015373467760487e-01,8.950249760443231839e-01,8.348539959850072023e-01,9.015417227880954121e-01,8.813534188022449367e-01,9.447549191995711082e-01,7.679150850404881101e-01,9.877079478941681590e-01,8.701700589347880488e-01,1.000000000000000000e+00,-2.220446049250313081e-16,7.365435540962428362e-01,8.605660489419755255e-01,7.265944432524733543e-01,8.933033128712171145e-01,1.164985931359402649e+00,7.899272033659847647e-01,1.000000000000000000e+00,8.915855359806194036e-01
9.521793055417578922e-01,9.484676156578317752e-01,8.111922691196606916e-01,7.369216220265606410e-01,9.257871894410619751e-01,8.967018200556411411e-01,9.418327319225804350e-01,9.705007706349714214e-01,9.616501103763914760e-01,7.282040735909407481e-01,1.000000000000000000e+00,7.365435540962428362e-01,0.000000000000000000e+00,7.291127815479485630e-01,8.884061682136781268e-01,8.878906593423123716e-01,1.108497074249913394e+00,8.655144446046051376e-01,1.000000000000000000e+00,8.492813229607178993e-01
8.408078764262857385e-01,8.681677114857189181e-01,1.000000000000000000e+00,8.558172603005754775e-01,7.226497811599740251e-01,1.000000000000000000e+00,9.780619913997700143e-01,9.022577530379850552e-01,1.000000000000000000e+00,7.580365541213791580e-01,9.736709161978200910e-01,8.605660489419755255e-01,7.291127815479485630e-01,2.220446049250313081e-16,9.727013669751816138e-01,9.806584813889444030e-01,9.840932115203187003e-01,8.567584765099749422e-01,9.896825399404628465e-01,7.486558383954640128e-01
4.616676827723663612e-01,8.696634532371796400e-01,9.689593702669727637e-01,7.138519253923418795e-01,8.728558882784827055e-01,8.138695474929960039e-01,9.384552277805957576e-01,5.381463991420580850e-01,7.594750193444556041e-01,7.595539334343563986e-01,9.694039235036365776e-01,7.265944432524733543e-01,8.884061682136781268e-01,9.727013669751816138e-01,1.110223024625156540e-16,9.506537043942226983e-01,1.078422154866089500e+00,4.030769643092669829e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.557494970396267719e-01,9.404231214905608427e-01,8.288824550787676770e-01,9.576145384257250814e-01,9.536432583336723612e-01,9.883265705773199850e-01,1.000000000000000000e+00,9.174981157140391641e-01,1.000000000000000000e+00,9.496336745053353123e-01,9.932159228367181125e-01,8.933033128712171145e-01,8.878906593423123716e-01,9.806584813889444030e-01,9.506537043942226983e-01,0.000000000000000000e+00,1.193438504028548897e+00,9.182279824491816900e-01,1.000000000000000000e+00,7.475850463493991516e-01
1.070248201417303147e+00,9.453587250883196402e-01,1.129026349475047430e+00,1.268913162109571058e+00,1.147636987952731946e+00,1.132124645716900524e+00,1.156203170707702066e+00,1.076437099251739582e+00,9.524495047230143729e-01,1.131910650903166893e+00,1.253737110642439090e+00,1.164985931359402649e+00,1.108497074249913394e+00,9.840932115203187003e-01,1.078422154866089500e+00,1.193438504028548897e+00,1.110223024625156540e-16,1.077323429204937622e+00,1.180091977343778353e+00,1.020234597888814987e+00
2.112047890200343669e-01,8.814974253611034261e-01,8.695384793689366898e-01,9.722640066985118734e-01,9.061820085636371758e-01,8.528612276026903416e-01,9.398760261452866471e-01,5.443490495961055275e-01,9.209413052703970815e-01,8.743364951625445247e-01,9.798364931882385109e-01,7.899272033659847647e-01,8.655144446046051376e-01,8.567584765099749422e-01,4.030769643092669829e-01,9.182279824491816900e-01,1.077323429204937622e+00,-2.220446049250313081e-16,1.000000000000000000e+00,8.341996757935159490e-01
9.045713008622453533e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.017596116255369942e-01,1.000000000000000000e+00,9.637968291059126891e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.714005382747940009e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.896825399404628465e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.180091977343778353e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.107370327851355363e-01,8.513685326448422463e-01,7.855435550151339541e-01,9.427283844516283207e-01,8.757514932258119167e-01,9.986533981398446613e-01,9.861356796244213907e-01,8.277769896694632257e-01,9.331290562380851750e-01,9.680261008490758101e-01,9.600707616785763010e-01,8.915855359806194036e-01,8.492813229607178993e-01,7.486558383954640128e-01,1.000000000000000000e+00,7.475850463493991516e-01,1.020234597888814987e+00,8.341996757935159490e-01,1.000000000000000000e+00,0.000000000000000000e+00
