# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
9.476788498003191341e-01,9.722552053634659908e-01,9.164063344307349368e-01,9.797732928723651424e-01,9.755448323532963650e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.069281650197025257e-01,9.589588890302915836e-01,9.211196122130428376e-01,2.220446049250313081e-16,9.692549229106719455e-01,9.496013165417886981e-01,8.844608351326587181e-01,9.184375902987989004e-01,9.714071047771737355e-01,5.792134479683339610e-01,9.232415811353102963e-01,9.494952538298657707e-01,8.687973378140605440e-01
7.576710308274517969e-01,8.423223148154879159e-01,8.874347867256233702e-01,9.079580324968701266e-01,8.976759853808830014e-01,8.593688675195001458e-01,8.928539179434551443e-01,8.686455666882331172e-01,9.486951635322222742e-01,8.741549623965000348e-01,9.692549229106719455e-01,5.000000000000000000e-01,8.649657360574636300e-01,8.562479941086487134e-01,8.569789497069535411e-01,9.196569047112114204e-01,8.965687322093378597e-01,8.258372790386150353e-01,8.916612561136396664e-01,8.745959396450248002e-01
8.006020082442807384e-01,9.183685967858922217e-01,1.000000000000000000e+00,9.544578628611486426e-01,9.370558721759895127e-01,8.373691866909928061e-01,9.245290116108216827e-01,9.481309890262168416e-01,9.450582914712875038e-01,9.109030877897587031e-01,9.496013165417886981e-01,8.649657360574636300e-01,1.110223024625156540e-16,9.942955848141907804e-01,9.895447060189211941e-01,9.929362117479204608e-01,1.000000000000000000e+00,8.412672217705923217e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.582619963378425032e-01,7.619848187281923479e-01,7.162553067606562962e-01,9.586256212297821211e-01,8.242064349700736203e-01,7.846010089073778282e-01,9.733569905384147347e-01,6.497510100874468453e-01,9.400957444357360693e-01,8.534511105629382088e-01,8.844608351326587181e-01,8.562479941086487134e-01,9.942955848141907804e-01,0.000000000000000000e+00,2.895746878557645676e-01,9.471546224975798678e-01,8.754886832020725151e-01,8.402710350564004393e-01,9.202028709303802234e-01,3.060532429279572142e-01
8.380465982800904268e-01,7.366000709407491964e-01,6.096920130514189573e-01,9.800640394684352330e-01,8.913919039243867193e-01,8.048160242428312738e-01,9.724605065015411443e-01,5.250661336797575185e-01,8.960163991714491516e-01,8.525394299810716836e-01,9.184375902987989004e-01,8.569789497069535411e-01,9.895447060189211941e-01,2.895746878557645676e-01,0.000000000000000000e+00,9.326739004678051836e-01,9.402407471245499693e-01,8.066186464860888305e-01,9.595491866689657146e-01,3.317757012761332058e-01
9.739568082689528117e-01,9.148657804694132478e-01,8.400389682438453853e-01,9.657315156007096890e-01,8.994669102571232200e-01,7.940393256283856394e-01,9.533876789505627558e-01,9.022397391857753801e-01,9.440584421773202672e-01,9.786340589480424512e-01,9.714071047771737355e-01,9.196569047112115314e-01,9.929362117479204608e-01,9.471546224975798678e-01,9.326739004678051836e-01,6.424436418320068620e-01,8.896145915314338515e-01,9.394509498034150363e-01,9.776144050976968147e-01,9.553562295385248371e-01
9.333566753933243421e-01,9.810543825618015523e-01,9.459902361366664403e-01,9.566724948260157957e-01,9.463960417961302385e-01,1.000000000000000000e+00,9.161002830500615257e-01,9.612603119542231234e-01,9.787387769486437517e-01,9.703097510050673336e-01,5.792134479683339610e-01,8.965687322093378597e-01,1.000000000000000000e+00,8.754886832020725151e-01,9.402407471245499693e-01,8.896145915314338515e-01,2.220446049250313081e-16,9.150768990986773987e-01,7.987525800056066716e-01,9.307573179251259488e-01
2.030220557018429517e-01,9.069606664140161811e-01,8.642117648419483933e-01,9.770358819306010911e-01,9.457561895922211859e-01,8.451134189041181743e-01,9.817736318029979259e-01,8.142024856381052667e-01,8.822232364817935713e-01,7.543432556009439516e-01,9.232415811353102963e-01,8.258372790386150353e-01,8.412672217705923217e-01,8.402710350564004393e-01,8.066186464860888305e-01,9.394509498034150363e-01,9.150768990986773987e-01,0.000000000000000000e+00,9.483845934400182420e-01,8.613122010779523663e-01
9.849865872764251851e-01,9.906960587693087739e-01,9.262931476980269530e-01,9.592856451459854661e-01,9.211401994504980761e-01,9.568674191803536733e-01,9.086451827129530256e-01,9.719675408214578649e-01,9.437227249216428859e-01,9.785980226888060240e-01,9.494952538298657707e-01,8.916612561136396664e-01,1.000000000000000000e+00,9.202028709303802234e-01,9.595491866689657146e-01,9.776144050976968147e-01,7.987525800056066716e-01,9.483845934400182420e-01,0.000000000000000000e+00,9.435645467504165662e-01
8.812248384382586064e-01,7.810386990519211370e-01,5.764456134869995196e-01,9.590882916169155559e-01,8.810228072150554368e-01,7.936060516937457621e-01,1.000000000000000000e+00,6.019231941709568545e-01,9.030987449371400411e-01,8.730039089309720168e-01,8.687973378140605440e-01,8.745959396450248002e-01,1.000000000000000000e+00,3.060532429279572142e-01,3.317757012761332058e-01,9.553562295385248371e-01,9.307573179251259488e-01,8.613122010779523663e-01,9.435645467504165662e-01,1.110223024625156540e-16
