# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.000000000000000000e+00,1.256075721706864323e+00,1.000000000000000000e+00,9.815571843368459115e-01,9.223608615324425664e-01,1.200917007380091883e+00,8.749445416715941892e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.390407205076559682e-01,0.000000000000000000e+00,9.702818138311656293e-01,9.141455103137843263e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.297304164810707316e+00,6.403796759442952347e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.845523455544268554e-01,1.004250246606558372e+00,7.169087386784858129e-01,8.346481882426972643e-01,7.822074944927076556e-01,9.940494233885996955e-01,9.708367523085136286e-01,7.805209228749061534e-01,8.113007915108289003e-01,8.698529342156058330e-01,9.702818138311656293e-01,0.000000000000000000e+00,9.049777579864446420e-01,8.325231282319828230e-01,8.569850877345812634e-01,9.573345911983505152e-01,9.692446272518819850e-01,8.171533984875174461e-01,9.453819503181921657e-01,8.319826513026487014e-01
9.191787283189940538e-01,1.110343709617455765e+00,7.766799100230405983e-01,7.307387204557944660e-01,8.181179220497606375e-01,1.046411476713408062e+00,6.960847815137125583e-01,7.664724170639383161e-01,8.005567462053873040e-01,9.570743675836838049e-01,9.141455103137843263e-01,9.049777579864446420e-01,0.000000000000000000e+00,9.312286862544276733e-01,8.914337271653377526e-01,1.126256358861545070e+00,8.646402847356490229e-01,8.448716557009323669e-01,7.602972130826325392e-01,9.541947831070589636e-01
4.771041319860311880e-01,9.951884780092549176e-01,6.727635799749556167e-01,6.730313336249030831e-01,8.460658284132535067e-01,9.969738170981314873e-01,9.443203906134164383e-01,5.306257482670060366e-01,6.441914414800671285e-01,9.288086507573152240e-01,1.000000000000000000e+00,8.325231282319828230e-01,9.312286862544276733e-01,0.000000000000000000e+00,4.807872251102834893e-01,1.177136178158780133e+00,1.000000000000000000e+00,4.275779845146691072e-01,8.845480105222351952e-01,3.596213692355352265e-01
3.306598314356884449e-01,1.078073539886297505e+00,4.217220601274618286e-01,5.475144921193559888e-01,5.884022753541418016e-01,9.671436892588294310e-01,9.491123851734712957e-01,3.127888670427242390e-01,5.093720595142332552e-01,9.057834119434839959e-01,1.000000000000000000e+00,8.569850877345812634e-01,8.914337271653377526e-01,4.807872251102834893e-01,0.000000000000000000e+00,9.894749943477453291e-01,9.929091900437213569e-01,2.968861307880470424e-01,9.458263647733036183e-01,2.366952875197965156e-01
1.058355461660188901e+00,8.741134338131453241e-01,9.680383936880166962e-01,1.053528716173516511e+00,9.445434788419272421e-01,1.197850541203774988e+00,1.126299136783271981e+00,9.990550545937030291e-01,1.076855059627441102e+00,1.034511854104960493e+00,1.297304164810707316e+00,9.573345911983505152e-01,1.126256358861545070e+00,1.177136178158780133e+00,9.894749943477453291e-01,-4.440892098500626162e-16,1.045828246801986827e+00,9.927048046105186874e-01,1.121098811913794790e+00,1.026986987444472144e+00
9.948779310119633124e-01,1.215478393038363247e+00,9.925314066917492184e-01,9.583755480596589660e-01,9.460181767718250923e-01,1.140338194652716908e+00,7.739911814079565300e-01,9.972181769377898020e-01,9.793474231590618695e-01,9.936848249052593340e-01,6.403796759442952347e-01,9.692446272518819850e-01,8.646402847356490229e-01,1.000000000000000000e+00,9.929091900437213569e-01,1.045828246801986827e+00,2.220446049250313081e-16,9.887052947578808260e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.695528752592918575e-01,1.112507875643310662e+00,4.112122505082368429e-01,4.136076784351195856e-01,5.913495803220487623e-01,9.450700502651440127e-01,8.509445495643287449e-01,2.117587186650493614e-01,4.644969668271219376e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.171533984875174461e-01,8.448716557009323669e-01,4.275779845146691072e-01,2.968861307880470424e-01,9.927048046105186874e-01,9.887052947578808260e-01,-2.220446049250313081e-16,8.858326586726362750e-01,2.515586906501036113e-01
8.394937867734365566e-01,1.112769716223423577e+00,1.000000000000000000e+00,8.080943473308024316e-01,8.361441816091115253e-01,1.091143920855320415e+00,4.516570457033378672e-01,8.610358943194851289e-01,8.884381569479080643e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.453819503181921657e-01,7.602972130826325392e-01,8.845480105222351952e-01,9.458263647733036183e-01,1.121098811913794790e+00,1.000000000000000000e+00,8.858326586726362750e-01,1.110223024625156540e-16,8.787308310388020072e-01
2.966063582644155039e-01,8.847849008538123394e-01,4.125018615269930855e-01,5.531292108041471201e-01,6.054120005938585791e-01,9.759736666717098164e-01,8.187544242211801659e-01,2.906084203406602562e-01,4.854499296456719071e-01,9.679114638586758801e-01,1.000000000000000000e+00,8.319826513026487014e-01,9.541947831070589636e-01,3.596213692355352265e-01,2.366952875197965156e-01,1.026986987444472144e+00,1.000000000000000000e+00,2.515586906501036113e-01,8.787308310388020072e-01,0.000000000000000000e+00
