# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
9.582833262283443343e-01,1.103682515776215567e+00,7.801632004270527831e-01,9.642987543629811809e-01,9.870506950504949195e-01,8.441748046933450489e-01,3.515280035959423843e-01,1.000000000000000000e+00,1.137159897433907219e+00,8.239364426950921416e-01,2.220446049250313081e-16,8.720297463317621123e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.665221918063040540e-01,1.125890700675683975e+00,3.899520078576650395e-01,6.614927002645496490e-01,3.361466930395994313e-01,1.000000000000000000e+00
9.718646073955742315e-01,1.115517872124623500e+00,8.462199443674196520e-01,9.846809480547364934e-01,9.077419511433137966e-01,9.783681491288466203e-01,8.842365791797821561e-01,8.899758136874690306e-01,1.113817883616265991e+00,9.018470134562824869e-01,8.720297463317621123e-01,2.220446049250313081e-16,9.898398042312325229e-01,9.307897283776483954e-01,1.000000000000000000e+00,1.312267052804781065e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.743881251874696448e-01,9.624875892371543840e-01
8.642005259862663991e-01,1.136256510019384880e+00,9.605663429381049445e-01,7.362740425825509138e-01,9.771930272129292216e-01,9.452989540269618463e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.203276000366682474e+00,9.950346011536013169e-01,1.000000000000000000e+00,9.898398042312325229e-01,0.000000000000000000e+00,9.617030923503626649e-01,1.000000000000000000e+00,1.074977325507084469e+00,9.918177870602101764e-01,9.551469258027120990e-01,9.858798055102787616e-01,7.739673943833846881e-01
8.637590987901373474e-01,1.115655350917125199e+00,1.000000000000000000e+00,9.572357474779407127e-01,9.586395822139326395e-01,9.726364561996210245e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.141979545271806007e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.307897283776483954e-01,9.617030923503626649e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.107021344969808085e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.565296490438361943e-01,7.757316424058091631e-01
1.000000000000000000e+00,1.121661401452469065e+00,1.000000000000000000e+00,7.789359218492805104e-01,1.000000000000000000e+00,9.973119914859891466e-01,9.456547078334045509e-01,1.000000000000000000e+00,1.202467287324777923e+00,9.824340778154656562e-01,9.665221918063040540e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.301494267911128988e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.076278261273608150e-01,1.000000000000000000e+00
1.090726100237175977e+00,8.909578815934653395e-01,1.118552771597132622e+00,1.310459972159512709e+00,1.159601182497235428e+00,1.264480859838324145e+00,1.154724888739820043e+00,1.214089736177401457e+00,1.101465391816782713e+00,1.297435291486205511e+00,1.125890700675683975e+00,1.312267052804781065e+00,1.074977325507084469e+00,1.107021344969808085e+00,1.301494267911128988e+00,2.220446049250313081e-16,1.181901721639933456e+00,1.022532000872098834e+00,1.248521460725797283e+00,1.023024755958586107e+00
1.000000000000000000e+00,1.202089969141657999e+00,7.426510405822766003e-01,9.680458114424675964e-01,1.000000000000000000e+00,6.529852515177800854e-01,3.872556070584971533e-01,1.000000000000000000e+00,1.172129873245288501e+00,9.548373917341528294e-01,3.899520078576650395e-01,1.000000000000000000e+00,9.918177870602101764e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.181901721639933456e+00,1.110223024625156540e-16,6.873098062324668467e-01,6.891536202439717540e-01,1.000000000000000000e+00
6.988318687127716977e-01,9.201420480365553045e-01,9.589115818029314564e-01,9.218841709607399348e-01,9.376077012901510299e-01,9.253606737153085016e-01,8.376373322181520642e-01,1.000000000000000000e+00,1.083288875901057047e+00,9.315597701785522933e-01,6.614927002645496490e-01,1.000000000000000000e+00,9.551469258027120990e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.022532000872098834e+00,6.873098062324668467e-01,0.000000000000000000e+00,7.377756991098791683e-01,6.902829144023041597e-01
8.945180015920938255e-01,1.149396275471516571e+00,7.736856359248844850e-01,9.777945782281706188e-01,9.605271425888932679e-01,9.466006564276167046e-01,4.064678905580517698e-01,8.174789833531379557e-01,1.261464682721548103e+00,9.334836419431087329e-01,3.361466930395994313e-01,9.743881251874696448e-01,9.858798055102787616e-01,9.565296490438361943e-01,9.076278261273608150e-01,1.248521460725797283e+00,6.891536202439717540e-01,7.377756991098791683e-01,1.110223024625156540e-16,1.000000000000000000e+00
8.969602277542632063e-01,1.088413539781743156e+00,8.978326465673837076e-01,9.601808131106329691e-01,8.380204317050576890e-01,9.291285245225245903e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.204762780784236931e+00,9.668367334115863798e-01,1.000000000000000000e+00,9.624875892371543840e-01,7.739673943833846881e-01,7.757316424058091631e-01,1.000000000000000000e+00,1.023024755958586107e+00,1.000000000000000000e+00,6.902829144023041597e-01,1.000000000000000000e+00,0.000000000000000000e+00
